[0503/152521.066:ERROR:process_info.cc(329)] VirtualQueryEx: Odmowa dostêpu. (0x5)
[0503/152521.067:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0503/152521.067:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0508/104217.401:ERROR:process_info.cc(329)] VirtualQueryEx: Odmowa dostêpu. (0x5)
[0508/104217.401:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0508/104217.401:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0520/143637.205:ERROR:file_io.cc(134)] WriteFile: Trwa zamykanie potoku. (0xE8)
[0608/105718.164:ERROR:file_io.cc(134)] WriteFile: Trwa zamykanie potoku. (0xE8)
[0608/173723.491:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0608/173723.492:ERROR:exception_snapshot_win.cc(98)] thread ID 20992 not found in process
[0608/181148.208:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0608/181148.208:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0608/181148.208:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0608/181148.208:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0608/181148.208:ERROR:exception_snapshot_win.cc(98)] thread ID 16136 not found in process
[0611/130737.219:ERROR:file_io.cc(134)] WriteFile: Trwa zamykanie potoku. (0xE8)
[0612/124109.488:ERROR:process_info.cc(329)] VirtualQueryEx: Odmowa dostêpu. (0x5)
[0612/124109.510:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0612/124109.510:ERROR:process_memory_win.cc(39)] Failed to initialize ProcessInfo.
[0612/124109.510:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0612/190731.123:ERROR:exception_snapshot_win.cc(98)] thread ID 10604 not found in process
[0723/174901.776:ERROR:file_io.cc(134)] WriteFile: Trwa zamykanie potoku. (0xE8)
[0731/145338.286:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0731/145338.302:ERROR:exception_snapshot_win.cc(98)] thread ID 6308 not found in process
[0731/145338.302:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0802/174743.101:ERROR:process_info.cc(329)] VirtualQueryEx: Odmowa dostêpu. (0x5)
[0802/174743.119:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0802/174743.119:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0816/141325.476:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0816/141325.491:ERROR:exception_snapshot_win.cc(98)] thread ID 2824 not found in process
[0816/141325.491:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0819/082812.213:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0819/082812.237:ERROR:exception_snapshot_win.cc(98)] thread ID 444 not found in process
[0819/082812.238:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Podjêto próbê uzyskania dostêpu do procesu koñcz¹cego dzia³anie. (0xc000010a)
[0902/072356.454:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.474:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:process_reader_win.cc(151)] SuspendThread: Odmowa dostêpu. (0x5)
[0902/072356.475:ERROR:exception_snapshot_win.cc(98)] thread ID 7148 not found in process
[1012/090408.311:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1102/155814.579:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1102/205553.963:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1102/211746.518:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1102/215259.668:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1102/222419.175:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1103/170938.211:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1104/162112.892:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1104/163412.212:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1107/133713.256:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1112/211953.591:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1112/213313.944:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1113/161559.606:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1115/203928.037:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1115/221823.583:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1115/223413.122:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1117/161958.454:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1118/162616.348:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1118/201225.556:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1120/200438.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1120/201945.819:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1120/203547.929:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1120/204600.549:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1121/101432.200:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1121/110127.369:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1123/114748.705:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1123/115937.802:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1124/162734.431:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1126/171830.197:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1127/161301.859:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1128/201231.028:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1128/202712.309:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1129/123331.572:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1129/125007.851:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1130/190405.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1130/191714.909:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1214/105451.979:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1214/115628.037:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
[1228/133407.383:ERROR:directory_reader_win.cc(43)] FindFirstFile: System nie mo¿e odnaleŸæ okreœlonej œcie¿ki. (0x3)
